Gene,DEG
B2m,UP
Ifitm3,UP
Mt1,UP
Ly6a,UP
Insl3,UP
Mt2,UP
Fth1,UP
Cst3,UP
Gstm1,UP
Vim,UP
Bgn,UP
Pcolce,UP
H2-D1,UP
Fau,UP
Lcn2,UP
Gstm2,UP
Isyna1,UP
Tmem176b,UP
Tmsb4x,UP
Plac8,UP
Dcn,UP
H2-K1,UP
Ly6e,UP
Serping1,UP
Ifi27l2a,UP
Vegfd,UP
Apoe,UP
Serpina3n,UP
Cryab,UP
Ctsd,UP
C3,UP
Prdx5,UP
Lgals3bp,UP
Cfb,UP
Ccl2,UP
Igfbp6,UP
Tmem176a,UP
Isg15,UP
Fxyd1,UP
Selenop,UP
Psap,UP
Grn,UP
Ly6c1,UP
Ctsb,UP
Arpc1b,UP
Irf7,UP
Ecm1,UP
Fxyd5,UP
Cstb,UP
Pgrmc1,UP
Glul,UP
Cyba,UP
Rnaset2a,UP
Serpine1,UP
Csf1,UP
Ctsz,UP
Rbbp7,UP
Sdc4,UP
C1s1,UP
Timp2,UP
Lgals9,UP
Nbl1,UP
Ephx1,UP
Clu,UP
Spp1,UP
Anxa3,UP
Gsn,UP
Rras2,UP
Rnase4,UP
Apoc1,UP
Hp,UP
Cpxm1,UP
Serinc3,UP
C4b,UP
H6pd,UP
Hmox1,UP
Ier3,UP
Fgl2,UP
Lgals3,UP
Sh3bgrl3,UP
Hsd11b1,UP
Sorbs3,UP
Pld3,UP
Vat1,UP
Ctsa,UP
Ndufb8,UP
C1ra,UP
Htra3,UP
Dpep1,UP
Ctsh,UP
Ldhb,UP
Ccl7,UP
Akr1b3,UP
Dhrs3,UP
Ifit3,UP
Hexa,UP
Fkbp7,UP
Tapbp,UP
Sphk1,UP
Prnp,UP
Sod3,UP
Nectin2,UP
Cd9,UP
Fbln2,UP
Ifi205,UP
Ms4a4d,UP
Zbp1,UP
Sat1,UP
H2-Q4,UP
Tmem45a,UP
Cd34,UP
Cebpd,UP
Sin3b,UP
Rtp4,UP
Ube2l6,UP
Lbp,UP
Nfkbia,UP
Crip1,UP
F3,UP
Capg,UP
Hmga1,UP
Blvrb,UP
Serpina3g,UP
Socs3,UP
Clec2d,UP
Lrg1,UP
Xdh,UP
Hspb8,UP
Ptgds,UP
Icam1,UP
Tgm2,UP
Ampd3,UP
Cp,UP
H2-T23,UP
Mt3,UP
S100a1,UP
Ifi30,UP
Osr1,UP
Prelp,UP
Litaf,UP
Ptgis,UP
AI413582,UP
Medag,UP
Psmb8,UP
Cd302,UP
Creg1,UP
Rarres1,UP
Serpinb9b,UP
Ddr1,UP
Arhgdib,UP
Ssbp4,UP
Uap1l1,UP
Akr1b8,UP
Oasl2,UP
Ifit1,UP
Creb3,UP
Ccl5,UP
Fabp5,UP
Ly6k,UP
Mvp,UP
Klf2,UP
Nnmt,UP
Gpnmb,UP
Smim4,UP
Klk1b21,UP
Klk1b24,UP
Wnt6,UP
Kcne4,UP
Fabp3,UP
Pdlim3,UP
Bcl3,UP
Pea15a,UP
Lbh,UP
Olfml3,UP
1110008P14Rik,UP
Pnp,UP
Psmb10,UP
Slc29a1,UP
Fuca1,UP
Pltp,UP
Psat1,UP
Fbxo6,UP
Slit3,UP
Serpinb9,UP
Vcam1,UP
Pmm1,UP
Lrrc32,UP
Apol9b,UP
Cyp27a1,UP
Slc44a2,UP
Stat2,UP
Tnfsf12,UP
Selenbp1,UP
Ugt1a7c,UP
Klk1b27,UP
Oas2,UP
Ppt1,UP
Gsta3,UP
Ninj1,UP
Cxcl16,UP
Nucb2,UP
Trem2,UP
C1qtnf1,UP
Tcirg1,UP
Pim1,UP
Kitl,UP
Slc7a5,UP
Lrpap1,UP
Hexb,UP
H2-T22,UP
Map4,UP
Usp18,UP
Rbp1,UP
Hsd17b11,UP
Steap1,UP
Mpeg1,UP
Cpq,UP
Oas1a,UP
Akap12,UP
Efhd2,UP
Ifi44,UP
Aqp2,UP
Penk,UP
Gsdmd,UP
Hacd2,UP
Cd14,UP
Adgrd1,UP
S1pr3,UP
Hpcal1,UP
Fam180a,UP
Crym,UP
Rasd1,UP
Xaf1,UP
Phf11d,UP
Stc2,UP
Zbtb8b,UP
Glb1,UP
Ptgr1,UP
Ripk3,UP
Npr1,UP
Nfil3,UP
Sbno2,UP
Slc43a3,UP
Stat1,UP
Iigp1,UP
Gprc5b,UP
Lyz2,UP
Gla,UP
Vwa5a,UP
Klf4,UP
Stx7,UP
Fam213a,UP
