Gene,DEG
C4b,UP
C3,UP
Nr5a2,DOWN
Il6,UP
Serpina3n,UP
Olfr873,UP
Olfr39,UP
Cilp,UP
Mbd1,UP
Hspa1a,UP
Tnfaip6,UP
Ccr9,UP
Ly6k,UP
Ccl8,UP
Cebpd,UP
C1qtnf3,UP
Ly6h,UP
Serping1,UP
Gm12840,UP
Retnla,UP
Gpx3,UP
Nnmt,UP
Atf7ip2,UP
Apoa4,DOWN
Penk,UP
Itgbl1,UP
Slc10a6,UP
Igfbp6,UP
Gfpt2,UP
Gm42653,UP
Hao2,DOWN
Ggt5,UP
Amy1,UP
Timp2,UP
Ltf,UP
Fbln1,UP
Cp,UP
Gsta3,UP
Has1,UP
Pnliprp1,UP
Prlr,DOWN
Ly6a,UP
Abca8a,UP
Casp4,UP
Npy,UP
Mt1,UP
2410018L13Rik,UP
Col13a1,UP
Apod,UP
Meg3,UP
Hsd3b1,DOWN
Dpep1,UP
Il33,UP
Aif1l,DOWN
Birc3,UP
AC164623.1,UP
Gm10046,UP
Cyp27a1,UP
Ppp1r14c,UP
C1ra,UP
Angpt4,UP
Acsm3,UP
Edn1,UP
Ptgds,UP
Ifi205,UP
Slc43a3,UP
Cyp11a1,DOWN
Nr4a3,UP
Slco2b1,UP
Gsn,UP
Apoe,UP
Anxa9,UP
Svep1,UP
Rhob,UP
Fst,DOWN
Ifi203,UP
Gm9780,UP
Gm45551,UP
Htra3,UP
Icam1,UP
Hspb1,UP
G530011O06Rik,UP
Hspa1b,UP
Ccdc153,UP
Cyp2b10,UP
Rian,UP
Osmr,UP
Ccl7,UP
1500015O10Rik,UP
Gm43430,UP
Fgl2,UP
Creb5,UP
Slc18a2,DOWN
Bambi,UP
Ndnf,UP
Coq10b,UP
Klf4,UP
Atf3,UP
Bgn,UP
Col1a1,UP
Cuzd1,UP
Fxyd3,UP
Scara5,UP
Amh,DOWN
Mndal,UP
Fdx1,DOWN
Inhbb,DOWN
Gm37899,UP
Slit3,UP
Gm20711,UP
Ms4a4d,UP
Arid5a,UP
Ier5,UP
Pnp,UP
Rnase4,UP
1500009L16Rik,UP
Serpine1,UP
Serpina3g,UP
Ces1d,UP
Nnat,DOWN
Fmo2,UP
Gm26532,UP
Ecm1,UP
Lbp,UP
Zfp771,UP
Nipal1,DOWN
Lhcgr,DOWN
Csf1,UP
Phlda1,UP
Calb2,UP
Bex4,DOWN
Prelp,UP
Podn,UP
Chst8,DOWN
Hsd11b1,UP
Trim47,UP
Ramp1,UP
1810064F22Rik,UP
Fam13a,DOWN
Efemp1,UP
Col4a4,UP
Dynlrb2,UP
Akr1c18,DOWN
Tenm4,DOWN
Hk2,UP
Cxcl10,UP
Entpd2,UP
Ifi211,UP
Nap1l5,DOWN
Gpnmb,UP
CT030170.6,UP
Gm20186,UP
H2-T23,UP
Col6a6,UP
Scarb2,UP
Tifa,UP
Colec11,UP
CT571252.1,UP
Nfkbia,UP
1700017B05Rik,UP
Ptgs2,UP
Olfml3,UP
Bhlhe40,UP
AC124739.5,UP
Thbs4,DOWN
Wfdc2,UP
Vcan,DOWN
Dbp,UP
Rtn4rl1,UP
Csrnp1,UP
Xdh,UP
9030624G23Rik,UP
Cpxm2,UP
Tnfaip3,UP
Mpped2,DOWN
Mmp3,UP
Bag3,UP
Calb1,UP
Fbxw19,UP
Nfkbiz,UP
Cfap53,UP
Apoc1,UP
Pltp,UP
Ccl11,UP
Map3k8,UP
Lmna,UP
Col15a1,UP
A530020G20Rik,DOWN
Scn7a,UP
B830012L14Rik,UP
Mt2,UP
Col9a2,DOWN
C1s1,UP
Cpxm1,UP
Rab20,UP
Nfkb1,UP
Ccl19,UP
Gm26917,DOWN
Svs5,UP
Nr4a1,UP
Rab24,UP
Tmem252,UP
D630023F18Rik,DOWN
Caly,UP
Kng2,UP
AC159308.5,UP
Cxcl1,UP
Gm15844,UP
Sbno2,UP
Tcap,UP
Art3,UP
C1qb,UP
Eif3f,UP
Dcn,UP
Avpr1a,UP
Selenop,UP
Dusp1,UP
Igfbp7,UP
Qprt,UP
AC111046.1,UP
Ampd3,UP
Socs1,UP
Kcne4,UP
C7,UP
Htra1,UP
Akr1c14,DOWN
Olfr889,UP
Clec10a,UP
Mafk,UP
Wfdc15b,UP
Cbr2,UP
Pcdhb22,UP
Pcp4l1,UP
Cd163l1,UP
Slc38a3,DOWN
Jakmip3,DOWN
Ccl2,UP
Pim1,UP
Cd200,UP
Cst3,UP
C1qc,UP
Gm15551,UP
3222401L13Rik,UP
Serpina3m,UP
E330017L17Rik,DOWN
Gm15607,UP
Vsig1,UP
S1pr3,UP
Nt5dc2,UP
Errfi1,UP
Cidea,UP
8030411F24Rik,UP
Fam107a,UP
C1qa,UP
Dpt,UP
Tnfsf12,UP
Fshr,DOWN
Agtr1a,UP
Jund,UP
Fxyd1,UP
Wnt6,UP
Ube2c,DOWN
Irak3,UP
Ccnl1,UP
Bcr,UP
Aspn,UP
Cldn3,UP
Ifitm3,UP
Plat,UP
Defb36,UP
Col4a3,UP
Rab40b,UP
Maff,UP
Klf6,UP
Aqp8,UP
Plscr2,UP
Itih3,UP
Akr1cl,DOWN
Tmem212,UP
Tsc22d1,DOWN
Gm4349,UP
Xcl1,UP
Aoc1,UP
Cygb,UP
Upk1b,UP
Nfil3,UP
Cxcl16,UP
Gm43123,UP
Wfdc17,UP
Pdxk,UP
Pdpn,UP
Mirg,UP
Iigp1,UP
Gm42944,UP
Folr2,UP
Ccnb2,DOWN
Acbd6,UP
Sptbn1,UP
Lgals9,UP
Elovl6,DOWN
Cst12,UP
Adamts15,UP
Ext1,DOWN
Aldh1a3,UP
CT025600.2,UP
Net1,DOWN
Cpz,UP
Agt,UP
Capsl,UP
Icosl,UP
Mxra7,UP
Gdf10,UP
Dnajc15,DOWN
Plekhs1,UP
Celf2,UP
Tmem86a,DOWN
Zbtb16,UP
Fosl2,UP
L3mbtl4,UP
Ifi204,UP
Csrp2,DOWN
Btg1,UP
Ifrd1,UP
Adamts4,UP
Bri3,UP
Sulf1,UP
Ptp4a1,UP
Clec11a,UP
Sectm1a,UP
Dennd4a,UP
Sox17,UP
Nbl1,UP
Igfbp3,UP
Ctsk,UP
Rgs1,UP
Spry1,UP
Selenbp1,UP
Vstm4,UP
Ntrk1,UP
Il34,UP
Stc2,UP
Ppp2r2b,UP
Bmp3,DOWN
Maob,UP
Medag,UP
Pgbd5,DOWN
Sema3b,DOWN
Inha,DOWN
Trf,UP
Crip2,UP
Spon1,UP
Boc,UP
Cd34,UP
Cldn11,UP
Gnai1,UP
2810474O19Rik,UP
Grin2b,DOWN
Ecm2,UP
3110053B16Rik,UP
Slc22a26,UP
H2-Q4,UP
Ppm1m,UP
Clic4,UP
CT030657.2,UP
Gnao1,DOWN
Dok7,DOWN
Socs2,DOWN
Efcab10,UP
Itga8,UP
Gstm6,UP
Lcn2,UP
Hdc,UP
Procr,UP
Cd3e,UP
Acvrl1,UP
Trib1,UP
Plvap,UP
2810429I04Rik,UP
Nrtn,UP
Tob1,UP
Pink1,UP
Fosb,UP
Bcl3,UP
Gstt1,UP
Lsmem1,UP
Fcrls,UP
Sat1,UP
Rrm2,DOWN
Vegfd,UP
Steap4,UP
Ins2,UP
Olfr1033,UP
Dnajb4,UP
Adam33,UP
Zfp125,UP
Hspd1,DOWN
Etd,UP
Emp1,UP
Zfp36,UP
Irs2,UP
1700030C10Rik,UP
Tprgl,UP
Nid1,UP
Ctsh,UP
Gabra3,UP
Alox15,UP
Hmox1,UP
Calml4,UP
Spsb1,DOWN
Pla2g1b,DOWN
Nts,UP
Bnip3,DOWN
Fndc7,UP
Ccl4,UP
Clu,UP
Il15ra,UP
Eloa,UP
Gm13212,UP
Cited2,DOWN
Ly6c1,UP
Gadd45g,UP
Foxp2,DOWN
Upk1a,UP
Vwa5a,UP
Csf3,UP
Atp6v0e2,DOWN
Ccnb1,DOWN
Itpkc,UP
Il4ra,UP
Col6a5,UP
Gldn,DOWN
Idh1,DOWN
Mgl2,UP
Bace2,UP
Bex1,DOWN
Xpa,UP
Dpf3,DOWN
Lgals3bp,UP
H2-Eb1,UP
Nek6,DOWN
Foxo1,DOWN
Abcc9,UP
Mzt2,UP
Slc29a1,UP
Lrg1,UP
Tnfsf9,UP
Gm4956,UP
Gm20760,UP
Mecom,UP
Ppp1r1b,UP
Dnaja1,UP
1110017D15Rik,UP
Gm42851,UP
Il13ra2,DOWN
2600014E21Rik,UP
Aim2,UP
Cops7b,DOWN
