gene	sex.bias
Akap12	Sertoli
Aard	Sertoli
Elovl2	Sertoli
Hsd3b1	granulosa
Sulf2	granulosa
Nr5a2	granulosa
Cldn11	Sertoli
Wipf3	Sertoli
Ttyh1	Sertoli
Adora1	Sertoli
Htra1	granulosa
Basp1	Sertoli
Gm45889	Sertoli
Inhba	granulosa
Daam2	Sertoli
Reep1	Sertoli
Trank1	Sertoli
Fst	granulosa
Gstm6	Sertoli
AU015836	Sertoli
Celf2	Sertoli
Gas7	Sertoli
Xist	granulosa
Fam13a	granulosa
Lsr	Sertoli
Efhd1	Sertoli
Nhsl1	Sertoli
Map3k21	Sertoli
Cdh23	Sertoli
Cadm1	Sertoli
Scara5	Sertoli
Capn6	Sertoli
Dmrta1	Sertoli
Wt1	Sertoli
Cgn	Sertoli
Hsd17b1	granulosa
Sox8	Sertoli
Pwwp3b	Sertoli
Sox9	Sertoli
Cerk	Sertoli
Sema5b	Sertoli
Sema3g	granulosa
Npr1	Sertoli
Gpr37	Sertoli
Foxo1	granulosa
Serpine2	granulosa
Esr2	granulosa
Nt5e	Sertoli
Dtna	Sertoli
Prkcd	granulosa
Sema6c	Sertoli
Fscn1	granulosa
Col18a1	Sertoli
Dtx4	Sertoli
Trib2	granulosa
Spsb1	granulosa
Akr1cl	granulosa
Arhgap28	granulosa
Tmem184a	Sertoli
Tenm4	granulosa
Aebp1	granulosa
Nabp1	Sertoli
Flvcr2	Sertoli
Greb1	granulosa
Slc30a2	Sertoli
Notch1	Sertoli
Sowahc	Sertoli
Lhfpl2	granulosa
Slc6a6	granulosa
Dtx1	Sertoli
Hs6st2	Sertoli
Sh3gl2	Sertoli
Wnk3	Sertoli
Bex2	Sertoli
Jcad	Sertoli
Heph	granulosa
Vcan	granulosa
Shbg	Sertoli
Tnik	Sertoli
Wnt6	Sertoli
Gca	Sertoli
Adamts2	granulosa
Serpina5	Sertoli
Nap1l5	granulosa
Dusp6	Sertoli
Reep2	Sertoli
Nfib	Sertoli
Plekhg1	Sertoli
Qpct	Sertoli
Sparc	Sertoli
Epb41l3	Sertoli
Rnf144a	Sertoli
Ildr2	Sertoli
Akr1c14	granulosa
Prss23	granulosa
Syap1	Sertoli
Klhl23	Sertoli
Tpm3-rs7	Sertoli
Edn1	Sertoli
Pard6b	Sertoli
Bmpr1b	granulosa
Apoe	granulosa
Arhgef28	granulosa
Slmap	Sertoli
Scrn1	Sertoli
Plce1	Sertoli
Cgnl1	Sertoli
Itih5	granulosa
Mier3	Sertoli
Cables1	granulosa
Jade3	Sertoli
Tox2	granulosa
Plppr4	Sertoli
Timp3	Sertoli
Tram2	granulosa
Gstm1	Sertoli
Tyro3	Sertoli
Efhd2	Sertoli
Me1	Sertoli
Thbs1	granulosa
Rab31	Sertoli
Ptges	granulosa
Tmcc3	Sertoli
Tmem200b	Sertoli
Rcn3	granulosa
Lratd1	Sertoli
Chst8	granulosa
Gstm7	Sertoli
Myo1e	granulosa
Shisa8	Sertoli
Sdc1	granulosa
Zc3h7b	Sertoli
Eid1	Sertoli
Tmeff1	Sertoli
Shtn1	Sertoli
Robo1	granulosa
Sdc3	granulosa
Myo1b	granulosa
Ccdc160	Sertoli
Sh3d19	Sertoli
Dock9	granulosa
Cited1	Sertoli
Vdr	Sertoli
Cst12	Sertoli
Dhh	Sertoli
Tmem114	Sertoli
Foxq1	Sertoli
Gpx3	granulosa
Garnl3	Sertoli
Rcn1	granulosa
Mmd2	Sertoli
Phf8	Sertoli
Rab11fip4	Sertoli
Epha2	Sertoli
Aif1l	granulosa
Igsf9b	Sertoli
Plekho2	Sertoli
Rab7b	Sertoli
Kitl	Sertoli
Fxyd6	Sertoli
Lrp1	granulosa
C130074G19Rik	granulosa
Nectin2	Sertoli
Rplp2	granulosa
Igfbp3	Sertoli
Gng12	Sertoli
Dock4	granulosa
Frmd4b	Sertoli
Neu3	granulosa
Emilin3	Sertoli
Mxi1	Sertoli
Sdc4	Sertoli
Exoc3l2	Sertoli
Gja1	granulosa
Spock2	Sertoli
Mme	Sertoli
Stim1	Sertoli
Agt	granulosa
Ocln	Sertoli
Arid5b	Sertoli
Aldh1a1	Sertoli
Plagl1	granulosa
Fbn2	granulosa
Tubb3	Sertoli
Slc7a1	Sertoli
Gstm2	Sertoli
Psat1	Sertoli
Drp2	Sertoli
Fstl3	Sertoli
Cyfip2	granulosa
Sgk3	Sertoli
Dazl	Sertoli
Adgrl1	Sertoli
Espn	Sertoli
Chst11	granulosa
Acss1	Sertoli
Tacc1	Sertoli
Rras2	Sertoli
Cish	Sertoli
Msi1	Sertoli
Bcat1	granulosa
Hmgcs2	granulosa
Fhdc1	granulosa
Gm2a	Sertoli
Ppt1	Sertoli
Enpp2	Sertoli
Lpar2	Sertoli
Kctd12	Sertoli
Mycl	granulosa
Gpx7	granulosa
Ablim1	granulosa
Npr2	granulosa
Nxf3	Sertoli
Flrt1	Sertoli
Tmem255a	Sertoli
Slc27a6	Sertoli
Fam102a	Sertoli
Clec12b	Sertoli
Rack1	granulosa
1700017B05Rik	Sertoli
Arid5a	Sertoli
Defb19	Sertoli
Padi2	Sertoli
Olfml2b	Sertoli
Pcyt1a	Sertoli
Gna14	Sertoli
Pla2g5	Sertoli
Nectin1	granulosa
Map3k5	granulosa
Rab20	Sertoli
Add3	Sertoli
Serpinh1	granulosa
Igfbp5	granulosa
Lrp5	granulosa
Aff3	granulosa
Pde4b	Sertoli
Strip2	Sertoli
Kcnk13	Sertoli
Tmsb4x	Sertoli
Col6a1	granulosa
Fzd5	Sertoli
Pnkd	Sertoli
Ankrd13a	Sertoli
Wnt5a	Sertoli
Akr1b8	Sertoli
Pik3r1	granulosa
Tulp2	Sertoli
Hmgn5	Sertoli
Lonrf3	Sertoli
Epn3	Sertoli
Etl4	Sertoli
Nlrp14	granulosa
Kif1a	Sertoli
Fam234b	granulosa
Pxn	Sertoli
Ssh2	Sertoli
Prlr	granulosa
Sox6	Sertoli
Tns3	Sertoli
Foxo6	Sertoli
mt-Rnr1	Sertoli
Cachd1	granulosa
Bst2	granulosa
Hk2	Sertoli
Rps12	granulosa
Sobp	Sertoli
Flna	granulosa
Itpr2	granulosa
Zfp275	Sertoli
Large2	granulosa
Arhgef4	Sertoli
Sh3tc2	Sertoli
Ctnna2	Sertoli
6-Sep	Sertoli
F3	Sertoli
Selenon	granulosa
Hsd11b2	granulosa
Rnd2	Sertoli
Bcan	Sertoli
Ephx2	granulosa
Synj2	Sertoli
Gch1	granulosa
Oaf	granulosa
Hey2	granulosa
Fam169a	Sertoli
Pkia	Sertoli
Litaf	Sertoli
Adgrf5	granulosa
Rpl31	granulosa
Col9a2	granulosa
Islr2	Sertoli
Nt5dc2	granulosa
Prxl2a	Sertoli
Ldha	granulosa
Znfx1	Sertoli
Nuak2	Sertoli
Bmp6	granulosa
Idh2	granulosa
Mark1	granulosa
Zdbf2	Sertoli
Ly6e	Sertoli
Gpr55	Sertoli
Cdc42se1	Sertoli
Pik3cd	granulosa
Slc7a2	Sertoli
Hdac6	Sertoli
Wnk4	Sertoli
Tgfbi	Sertoli
Jazf1	Sertoli
Ston2	granulosa
Tgfbr3	granulosa
Cxxc5	Sertoli
H2-D1	granulosa
Inha	granulosa
Susd1	granulosa
Chp2	Sertoli
Igf1	granulosa
Tspan5	Sertoli
Fbrsl1	Sertoli
Plekhd1	granulosa
Irs1	granulosa
Tdrd5	granulosa
Ssh1	Sertoli
Gm13456	granulosa
Fads2	Sertoli
Shc4	Sertoli
Sat1	Sertoli
Shc2	Sertoli
Nudt19	Sertoli
Diaph2	Sertoli
Rps13	granulosa
Foxp2	granulosa
Ctnnal1	Sertoli
Itgb8	Sertoli
Slc25a45	Sertoli
Mxd1	Sertoli
Nudt4	Sertoli
Npdc1	granulosa
Adamts6	granulosa
Stag3	Sertoli
Cfh	granulosa
Agpat4	Sertoli
Abhd4	Sertoli
Eps15	Sertoli
Igsf3	granulosa
Rpl32	granulosa
Gdf9	granulosa
Gata1	Sertoli
Inhbb	granulosa
Rps15a	granulosa
Il10ra	Sertoli
Adck5	granulosa
Hpgd	granulosa
Exoc3l	Sertoli
Tril	granulosa
Zdhhc2	Sertoli
St8sia1	Sertoli
Tjp2	Sertoli
S1pr1	Sertoli
Tbc1d30	Sertoli
Ehd2	granulosa
Impdh1	granulosa
Adamts10	granulosa
Atp10a	granulosa
Dlc1	granulosa
Vcl	Sertoli
Rpl36	granulosa
1110032F04Rik	granulosa
Pea15a	Sertoli
Rpl36a	granulosa
mt-Rnr2	Sertoli
Tuba1a	Sertoli
Psd	granulosa
Nnat	granulosa
Ltbp1	granulosa
Zbed3	granulosa
Angptl2	granulosa
Nt5c3	Sertoli
Myh10	granulosa
Stac2	Sertoli
Cyth3	Sertoli
Rps17	granulosa
AA414768	Sertoli
Pde7b	granulosa
Adgrl2	Sertoli
Tiam1	Sertoli
Mob3b	Sertoli
Syne3	Sertoli
Plxdc2	granulosa
Atf3	Sertoli
Abtb2	Sertoli
Peg10	Sertoli
Dpysl3	granulosa
Derl3	granulosa
Nedd9	Sertoli
Vapa	Sertoli
Rps4x	granulosa
Epb41l2	Sertoli
Mdfic	granulosa
Trib1	Sertoli
Mpeg1	Sertoli
Slc44a2	Sertoli
Abcc1	Sertoli
Vstm4	Sertoli
Ccdc8	granulosa
Rgs17	Sertoli
Tspyl2	Sertoli
Coro2a	Sertoli
Nucb1	granulosa
Rhou	Sertoli
Prrg1	Sertoli
Arhgef3	Sertoli
Meioc	Sertoli
Crtap	granulosa
Metrnl	granulosa
Zyx	Sertoli
Myc	granulosa
Syt9	Sertoli
Rara	Sertoli
Slc35g1	Sertoli
Csrnp3	granulosa
Hspg2	granulosa
Slain1	Sertoli
Tmem132a	granulosa
Nckap5	Sertoli
Mex3b	Sertoli
Ppic	granulosa
Fam171b	granulosa
Rgl1	Sertoli
Pik3r3	Sertoli
Cyp1b1	granulosa
Zfp57	granulosa
Col27a1	granulosa
Rin3	Sertoli
Crebrf	Sertoli
Rgmb	Sertoli
P4hb	granulosa
Tnfrsf12a	Sertoli
Cltb	Sertoli
Bcor	granulosa
Mtpn	Sertoli
Tgfb1i1	granulosa
Dap	granulosa
Nol4l	Sertoli
Map7	Sertoli
Camta1	granulosa
Smoc2	granulosa
Cndp2	granulosa
Esyt3	Sertoli
Rnf208	Sertoli
Myo7a	Sertoli
Zbtb46	Sertoli
Tgif2	Sertoli
Tmem35a	Sertoli
Fam124a	Sertoli
Srpk2	Sertoli
Tspan17	Sertoli
Ext1	granulosa
Lrrc75b	Sertoli
Cebpa	granulosa
Evc2	granulosa
Col11a1	granulosa
Synpo	granulosa
Rpsa	granulosa
Rpl10	granulosa
Ppm1l	Sertoli
Bcl11a	granulosa
Srgap3	Sertoli
Heg1	granulosa
Lama1	granulosa
Adamts5	granulosa
Rps9	granulosa
Gramd1b	granulosa
Fbxo21	Sertoli
Rapgef4	granulosa
Slc52a3	Sertoli
Clcn2	Sertoli
Phf13	Sertoli
Slc45a4	Sertoli
Sgpp1	Sertoli
Nfic	Sertoli
Ccdc3	granulosa
Hspb1	Sertoli
Prelp	Sertoli
Etnk2	Sertoli
Cebpb	granulosa
9-Sep	Sertoli
Cyp11a1	granulosa
Arhgef6	granulosa
H2-Q10	Sertoli
Sulf1	Sertoli
Ubash3b	granulosa
Glb1l2	Sertoli
Igdcc4	granulosa
Hmgb3	Sertoli
Adcyap1r1	Sertoli
Cnmd	granulosa
Ndrg2	granulosa
Arl4a	Sertoli
Cytip	Sertoli
Tmc7	Sertoli
Aldh1a2	Sertoli
Alcam	Sertoli
Fkbp1a	Sertoli
Zfp277	granulosa
Itga2	granulosa
Slc41a3	Sertoli
Ndfip1	Sertoli
Smpx	Sertoli
Mfap2	granulosa
Pomt1	granulosa
Epn2	granulosa
Cabp1	Sertoli
Impa1	Sertoli
